Sentence,Sentiment
#borusan turkcell'de reklamýnda esmer bir kadýn oynatmak istemeyebilir.ben eþdeðer buluyorum. acaba ayrýmcýlýðý yapan türban savunucular mý?,3
turkcell kendý sorununu cozemezký..nasýl turkcell cozum merkezý uretsýn ?,2
ooo oldu mu sýmdýý anacým vodafone numaramý sýl hattýmý kapattýrdým.turkcel acýk ondada fakuruz!:D,3
gold paketlere yönelik ayrýca bir kampanya olucakmý peki ?,3
"þimdi ben turkcell akmerkez'e gittim, dedim ki iphone 4 istiyom, dediler ki bb var. ben de access point var mý dedim",3
özturkcell e dönücz diye korkuyorum ama çanakkale holdingiz biþeycik olmaz,3
"Sosyal Medya konulu doktora çalýþmamýz için,sosyal medyayý en iyi kullanan marka olarak anketimizi cevaplar mýsýnz?",3
"""Gökdelende çekmiyormuþ"" lafý Turkcell için doðru çýktý. Gazetede  zirt pirt kesiliyor..",2
"eleþtirenlere inat, turkcell ile savaþýnýzdaki geliþmeleri tweetlemenizi bekleyenler var :)",2
yeni yila hic bir sevdigimi arayamayarak muthis bi giris yapmami sagladiginiz icin tesekkurler. Acin artik hattimi ltf. Opt. Bye.,2
Çok þükür superonline ile problemim çözüldü.,2
Sn TURKCELL eski bir müþteri olarak her ay bana çok güzel geçiriyosunuz bu geçen ay 139.ytl ödedim bu ay 206 fatura yollamýþýz:))),2
[TCELL] Kapanis: 9.10 - StochasticRSI: 0.69 - Hedef Alim Seviyesi : 8.70 - Hedef Satis Seviyesi: 9.32,3
Sana da çok teþekkür ederim  . Ýlle de beni  ile aldat diyorsun!,2
ahh selocan neler var neler oralarda,3
Divane Asik Gibi Blog Turkcell Blog odullerinde son 10`a kalmis. Destek veren herkese tesekkurler...,1
hayat paylaþýnca güzel tabii:),1
Ýpragaz reklamý muhteþem olmuþ süper abi.Turkcell reklam görsün........,2
Burcak bebisim 1$lik þey  için kredi kartý numarasý istiyor direkt Turkcell faturaya nakledemiyorum sen duþun :(,3
"Mesaj hakký yapamýyorum,turkcell yok olsun istiyorum þuan",2
HAFTAMIZ TÜRKCELL SÜPERONLÝNE SAYESÝNDE KÖTÜ BAÞLADI KÖTÜ GÝDÝYOR. ÇÖZÜN ARTIK ÞU ANADOLU YAKASINDAKÝ ÝNTERNET SORUNUNU,2
""" Silgi tozlarýný biriktirip, onlarý yuvarlayarak uzun bir ip yapanlar var mý aramýzda? :) Haydi RT edin!"" Cocukken evet :D",3
O degil de internet paketim bitti ayýp sana tcell,2
elim telefona gidiyor þunu bir arasam mý diyorum hemen turkcell mantýðýmý harakete geçiriyor no many :(,2
"Allah belani versin , bikmadin mi durduk yere surekli para almaktan ?!",2
fiber superonline diyorum baþka da birþey demiyorum..daha hiç kazýðýný yemedim :),1
SORU:TURKSEL WIN DAN MEMNUN OLAN BÝR ALLAHIN KULU VARMI ? CEVAP :VAR  KÝM LAN O ? CEVAP: TURKSELÝN PATRONU BELKÝ DÝKKATÝNÝ ÇEKER,2
"Bugün hediye kazandýnýz,bu numarayý arayýn mesajýndan 15dakika sonra Turkcell'den hediye kazandýnýz mesajlarýný göz ardý ediniz mesajý geldi",3
"%98.2 oraninda kapsama alani olan Turkcell, kapsama alani olmayan o %1.8 lik alana denk gelmekkk  nedir ya :/",2
kamil koç-türkcell 1 bilet alana 1 bilet bedava kampanyasý kocaman bir kandýrmacadýr...AYIP !!!,2
sabah sabah #turkcell müþteri hizmetlerinin telesekreteriyle kavga ettim ne salak bi kadýn o yaa,2
"Charlene Li, 2010'da Fast Company tarafýndan iþ dünyasýndaki en etkili 100 isimden birisi olarak gösterildi. #PazarlamaKonferansi",3
12Yýldýr Trcell faturalý hat kullanýyorm ama 6 aylýk fatura toplamý 250TL geçmediðnden sözleþmeli telefon alamýyorm.Müþt. politikanýzýn a.q,2
Bugun Turkcell'den mesaj gelmeyince musteri hizmetlerini arayýp 'hmm neyse sen mesglsun galiba bye' deyip kapattým.,3
"#turktelekom ,ey sen lider telekom firmasý, ""beceriksiz"" ve bilgisiz bayilerin arayýp size "" #turkcell Výn"" hediye ""etcez"" diyorlar neden.!",3
Baz istasyonu monte ederim sana. O turkcell açýlacakk arkadaþþ!,2
"Devlet Sektörü=Turkcell Süper Lig, Özel Sektör=Bundesliga, Çalýþtýðým Sektör=Italia Serie A.",3
#turkcellmuzik Yaþasýn maNga yaþasýn Turkcell «§©µ» :),1
Turkcell cekmiyormu yani,2
bu fenerbahçeliler turkcel bayisinde kontor bulunur lafý kadar çok gereksiz!,3
Rumara olayýný yapan var mý?,3
boyle 1 numaradan arandim iphone garanti suresini para karsiligi uzatmak istiyorlarmis!?,3
sen ne kadar salak bir operatörsün TURKCELL ya gecenin 1'inde ayný mesaj 14 kere üst üste gönderilir mi? ya uyuyorsam ya erken kalkacaksam??,2
"profesyoneller kulubune girin ama ne bi bilgilendirme gelsin, ne sifre gelsin. Prof olduk sozde. Hani sifrem?? Neyden yararlancam?",2
Ne derlerse desinler Turkcell hala en yogun gsm operatoru... Ne zaman gelsem dolu,2
hayir birde telefon edip kontrol edicez diyip hicbi gelisme olmuyo. Devlet dairesinde burokrasi sizde daha beter durumda,2
yeni yýl kutlama msg'ýný aldým. Teþekkürler.. Hayat paylaþýnca güzel lala la la laaa,1
Justin de Turkcell kullanýyomuþ.,3
Mudo'dan iki hediye alan Turkcell'lilere üçüncüsü hediye,1
Bratan dj'e gidip suat nerde in asag demek lazimda neyse :D tesekkurler TURKCELL harika bi gece,1
Ýyi ki kontr aldým... dün geceden beri ayný anda 10 mesaj atýp beni yalnýz býrakmayan turkcell saðol caným....,2
28.11.2011 de baþlayan oturumu 01.01.2012 00:34 de kapatýp ilgili kotayý Ocak 2012 ye ekleyen superonline ý buradan alkýþlarla kýnýyorum.,2
kapýya gelen superonline satýcýsýna babamýn verdiði cvp girin eve ne döþüyosanýz döþeyin ben gidiyorum yarým saate gelirim :D:D:D:D:D,3
"Mobil Ödeme  Avea ve Turkcell hatlarýnla  hesabýna para transferi yap, kazanmanýn keyfini çýkar!",3
superonline cok iyi hele ttnetten sonra baya iyi 3 aydir sorunsuz kullaniorm hic skntý cikarmadi,1
#hayatpaylasincaguzel Turkcell 14. ITU Sektör Günlerinde #ituemk,1
Ýnovasyonda büyük ödül Turkcell'in!,1
Bugün turkcell'den mesaj gelmeyince müþteri hizmetlerini arayýp 'hmm neyse sen meþgulsün galiba bye' deyip kapattým.,3
telefonumun interneti o kadar ezik ki beni bu hallere dusuren Turkcell'e ne kadar sovsem azdir.,2
merhabalar Kayseri pýnarbaþý ilçesinde yaklaþýk 3 saattir servis yok,2
"Ruyamda liralarim -25e dusuyordu. Ruyama bile giriyorsun Turkcell, hain seni.",2
avea kullanmaya devam edersen daha çoooook koparsýn. TURKCELL le baðlan hayataa :),1
süperonline ' nýn fiber optik sistemi 10 tane ttnet eder yahu . 100 mbit internetten bahsediyoruz,1
Kendini düzeltmeyi neden denemiyorsun,2
onun icin gecicem tekrar turkcell'e az kaldi :-D,1
#3kelimeyle2011 Turkcell'le baðlan hayata,1
bugün eski hattýmý geri almak istediðimi söyleyince hattýmýn satýþa sunulduðunu söylediler TURKCELL Parasýz kaldý hattýmý satýyor :)),2
telefon aldým turkcell'den vodafone'a çevrmek için bi þifre vermeleri lazýmmýþ ama kaç saattir yok. Çok sinir oldum kuzu ya.,2
bi kere de sen ara be kardeþim =) turkcell'sin ve erkeksin sana harcýyorum varýmý yoðumu =) swatch'larý 2miz takýcaz b=p,3
türkcell biliyor sadece....:)),3
Maðaza Müdürü: Akademi Iletisim A.S. - Tekirdað - * Turkcell satýþ süreç ve araçlarýný etkin bir þekilde kullaný...,3
"ôyle deðil iste, kýsmen belki:)) anlatýrým geldigimde ayrýntýlarý. Turkcell hattim hala iptal:(",2
besiktas metropol subeniz oldukca ukela bu Turkcel'e hic yakismadi. Ve calisanlariniz yurt disi paketlerini bilmiyorlae.,2
Sarý antenlerini s*ktiðimin TURKCELL'i 2900tl iphone 4s 64gb fiyatý mý olurmuþ! Peki bu küfür alana mý gitmeli satana mý?,2
seni hiç sevmiyoruumm,2
Ýþte karþýnýzda Turkcell'in ýþýk hýzýnda 3G baðlantýsý. Muhteþem!,3
Kimselere vermediðim diðer numaramý vereyim ben sana ordan þaapalým turkcell'in boku çýktý zaten.,2
en avantajlý iphone4s paketi : iPhone SüperStar Paket Þirket içi:5000dk Turkcell:5000dk Heryöne: 3000dk Heryöne:500SMSÝnternet:1GB  174 tl,3
valla teknoloji çok ilerledi..kaybolduk ama turkcell çekiyor :)) çok ýssýz buralar terk edilmiþ gibi...,1
Bu bi akým halinde geliyor sanýrým önce Turkcell þimdi Vodafone. Kim var abi bu iþlerin arkasýnda ? Sen bilirsin :),3
Dur bi mesaj atiyimda sevdiginden geldi zannetsin. -Turkcell.,2
10 milyon :),3
benim bulunduðum þehirde yok ee þansýmý kayýp etmiþ oluyorum:((,2
Divandan dogum gunu pastasi gondermek! Valla sasirdim tesekkurler #turkcell :):),1
turkcell isi yokusa sürüyo ama pehh,2
Turkcell'i arayýp isyan edicem þimdi.bikere olsun faturamý gelmesi gerektiði gibi yollamýyolar !,2
Kmse yok ký turkcell de çevremdeký herkes avea mk :D,2
Neymis efendim turkcell 4 cekermis 100 uzerinden heralde! Telefon faturasina odedigim paralar haram zikkim olsn! Hic bir yerde cekmyor!,2
Teþekkurler teknoloji uzmani:)) Beni kurtardi:D,1
"""Hayat paylaþýnca güzel.."" -Turkcell-, ""PaylashmadaN oNce beqeN xdxd"" -Bir ergen-",3
ttnet in servisleri cok iyi superonline da baglanmak kolay ama sorun ciktiginda kimseye ulasamiyorsunuz,2
kendilerinden haberleri yok ki “ Turkcell Superonline bolge yetkili bayisinin beni 542 li numaradan aramasina ne demeli”,2
Bu ara kimse beni arayip sormuyo turkcell mesaj attiginda sevinicek hale geldim sevgili arkadaslarima duyurulur.,2
Gayet tabii :) Turkcell aylik 7tl ile internet ve bbm kullanimi sagliyor.Butun bb uygulamalarini da o paketle kullanabiliyorsun.,1
hayýr da turkcell hattýmý kaybetmeme kaç puan veriyosun :D,3
Dilayla o kadar çok telefonda konuþuyoruz ki annemizden sonra þimdi de turkcell atarlanmýþ hahaha B),3
"""arkadaþýmýn telefonunda sevgilisinin adýný TURKCELL diye deðiþtirdim gelen msjlarý okumadan siliyor ayrýldý...",2
100 milyon,3
"Turkcell hala ""prestij"" kazandýran bir marka. Onu kullanmak insanlar için hala belli bir seviyede olmakla eþ.",1
3tl durduk yere gitti Turkcell sürekli soyuyo :),2
bende turkcell kullanmýyorum ki... :)))),2
"Turkcell reklamýndan ""Hediye bakiyeden deðil gönülden verilir. Þimdi 50 TL ve üzeri yükleme yapan herkese.."" Þaka yapýonuz dimi :)",2
dun Turkcelle tepkilerimizden sonra bugün Turkcell twittera sponsor olmuþ. Ne tesadüf deðil mi ? :),1
Bý ýpad iþini halledemeyen turkcell platinum uyesý  cinnet geçirerek saçlarýný yoldu!,2
trcell trcell merak etme ödemeli nasýl yapýoduk? ayýp ediyosun kardeþim ne demek insanlýk öldümü :),3
ewt hayat paylaþýnca güzel ve bu dünyada sizlr gibi deðerli insanlarýn olmasý kadar güzel bir þey yok (:,1
Ýyiki bi nar paketimiz bitti turkcell 10 saniyede 3 mesaj attý,2
her yöne sms 12 tl bakýnýz turkcell :D,1
TURKCELL den artýk þu kadar paraya þu saate kadar þu kadar konuþ sms leri GELSÝN ÝSTEMÝYORUM !,2
her ay bedava 1000 dakika her yöne vermezseniz fotoþop yapar selocaný kaybederim. 24 saatiniz var.,3
"birine mesaj attýktan sonra cevabý beklerken, gelen mesajlardan biri de turkcell yerine o olsa keþke, nasýl mesut olurdum anlatamam",3
Dur bi mesaj atalimda sevgilisinden geldi sansin -turkcell,2
hayat yeni yýl mutlulugunu paylaþýnca güzellll :))),1
tüm tarayýcýlarla denedim baðlanamadým tahmin süresi biter bitmez baðlan twetgönderebildim engellediler,3
Nasillll :) ( Turkcell Superonline),3
Evet daha hýzlý diðe evimize ulaþtýnýz ama daha 20 mbit in 4 ün üzerine çýktýðýný göremedik.,2
yaziklar olsun Turkcell yaziklar olsun Armes Group,2
Her þirketin amaçlar hiyerarþisi vardýr ya vizyon misyon vs... turkcell'in misyonu da müþterilerinin ýrzýna geçmek !,2
öyle amerika fýrsatý bulsam bende hemen alacam,3
süperonline den denemekte yarar var ... onlar özel kablo dahi döþüyorlarmýþ!,1
Ohaaaaaaaaaaa!!! 202 tl Cep Telefonu Faturasýmý Olur Beeeeee... sýçtýn yine aðzýma turkcell!!!,2
hayat cimcoma koyunca güzel paylaþýnca fln deðil ahahaha:D,3
"Iphone 4S bugun Turkcell shoplarda ama simdilik siyah sadece, ilgilenenlere duyurulur...",3
turkcell bu yapar:D,3
abi superonline ne kadar bi de avea paketiniz ne kadar?,3
yok turkcell :),3
tabi ki.. elimden ne gelirse.. hayat paylaþýnca güzel.lalalalaaaaa.. :),1
iPhone 6S ne zaman çýkacak ??,3
yine bütün TÝMlerin yepyeni tabelalarý deðiþiyor. bu ne israf ya vergiden mi düþüyorsunuz napýyorsunuz ? anlamadým,2
"bu türksel millete hediye tl veriyo, benden hediye tl çalýyo bu nebe..  Tl lerim konusmadan bitiyo..",2
bugün (seni turkcell reklamýnda þahan'ýn kafasýna taktýðý ayþe özgün peruðu olarak yaratmayan) allah için ne yaptýn?,3
Millet hat degistirelim =) Numarasýný Migros’da Turkcell’e taþýyan veya yeni faturalý hat alana 50TL bedava alýþveriþ,1
ulan banada bugün bitek turkcell mesaj attý yaaa,3
+Sertap kocan seni aldatýyomuþ! -Hayat paylaþýnca güzel lalala lala +Hatta bi de çocuk yapmýþlar! -Paylaþýp çoðalýnca güzel lalala lala :),3
"Turkcell, vodafone falan satýyor. Fiyat tam net bilmiyorum ama 2binin üstünde.",3
"paylaþýnca çoðalan, o körkütük muhabbeti, göreceksin bakarsan, alkolün zaferini...  hayat ayyaþýnca güzel...",3
CGD YAZ TÜRKCELL 1234 AVEA/VODOFON 2345 GÖNDER 5 tl katkýda bulun  BÝR TUÐLADA SEN KOY   BÝR ÇOCUKTA SEN SEVÝNDÝR hadi :),3
#konya #elektroworld #turkcell standindaki arkadas. Sen sorulara burnunla cevap verip onundeki ekrandan domates ekmeye devam et,3
Sabah 7de mesaj atan turkcell sapýkmýsýn lan,2
turkcell zaman makinasini da mi buldu!?,3
"tcell storedan gelen ""yahya yýlancý"" smsiyle ne anlatmak istediniz acep????",3
", en doðru kararý vermiþ olursun, turkcell ve superonlineden uzak durun. Soyup sovana çeviriyorlar. Ben kurtuldum dstm",2
iki gündür vodafone internet testleri yapýyorum. Turkcell'in 3G sinyalinin olmadýðý birçok yerdeki kalitesiyle beni adeta þok etti.,2
Bir kere abonesi olduðum tarife kadar fatura ödiyeyim kurban keseceðim,2
"nerdeyse 4 ay oldu , bu hizmet seklinizd benziyceksd fiber internetiniz uzak durulmali",2
"mal bir TIM calisani yuzunden mailim kapandi.4 gundur e-posta ayari yapamadiniz.Bugun son kez ariycam,olmazsa operator degistircem",2
iþ dönüþü nimbuzz la baðlan hayata ;-),1
"#BuKutudaNeVar Audi A1 sahibini buldu, tebrikler!",3
#turkcell #vodafone #avea Turkcell Gold Plus Paketine Alternatif arýyorum arkadaþlar. Lütfen yardýmcý olun :) #Turkcell 'den býktým.,2
"Charlene Li: ""Baþarýlý olmak için sosyal medya için bu platforma özel, paylaþýlabilir içerikler oluþturmalýsýnýz."" #PazarlamaKonferansi",3
Ýnternet eriþimimizde Turkcell-Global Ýletiþim nedeniyle problem yaþanmaktadýr. Konuyla ilgili çalýþmalar devam etmektedir.,2
helal selocan bulmusun abiyi hemen teþekkür ederim.,3
Bu turkcell kadar salak bir operatör var mýdýr acaba ?,2
zuzu turkcell 2 gündür mesaj atmýyo kesin baska biri var :(,2
"Ýphone 4S,16 Aralýk tarihinde Turkcell bayilerinde kampanyalý satýþa sunulacak bilginize ...",1
"2 senedir kullandýðým faturalý hattýmý, ""eksik belge"" yüzünden, yýlbaþý öncesi aramalara kapatan, ey vefasýz turkcell",2
Orda durumlar nasýl Sertab?  -Tecavüze uðradým Serkan !!  +Amaaaan hayat paylaþýnca güzel..  -Lalalalalaaaa !! # :D ..  .,3
"En kötüsü de, sms olmadýðý zaman telefonum defalarca öter. Olduðu zaman ise,  sadece turkcell kontürlerimi yemek için kampanyalar sunar.",2
00:00'da mesaj mý atýlýr lan? amýna koyim turkcell!,2
"Çocuklar Gülsün Diye Turkcell 1234'eVodafone ve Avea 2345'e ""cgd"" yazýp yollayarak kampanyamýza 5 TL katkýda bulunabilirsiniz.",3
sanýrým haklýsýn turkcell harbiden hayat paylaþýnca güzel valla bak :),1
Bu arada farkettim de hepsi Turkcell Kullanýyor:),1
"Yarin kendime turksel hat sey aldircaem, onu veririm sana",1
hahahaaa .....turkcell'de'' hayat paylaþmadýkça da güzel ''ciler darbe yapmýþ olmasýn?? :)) bu arada mutlu yýllar....,3
"Mutluluk, gnctrkcll kampanyasýný bilmeden iki kiþi kahve dünyasýna gidip, kahve içtikten sonra ikincisinin bedava olduðunu öðrenmekti bugün.",1
benim sorduðunuz tahmin sorularýna yaklaþamayýþým ne olacak ya bu kadar kötü tahmin yapan baþkasý var mý acaba #bukutudanevar,3
"#hayattansogutanseyler Aytaç'ýn, Turkcell'in 'Þahan', Bonus Card'ýn 'Kafa' reklamlarý!",3
turkcell sevgi sözcükleri:yarram hayat paylasinca guzel.,3
dur þu turkcell'e mesaj atýyým da sevgilisinden geldi sansýn enayi!,2
"4- Hepsiburada'ya, KVK'ya, Turkcell'e, Vodafone'ye Sövesim geldi sövmedim. BlackBerry'e sövesim geliyor, sövmicem. Ben o Noel'inde ...",2
o turkcell panolarýndaki sevgi sözcükleri hala duruyo mu acaba.Ciðerim yazýsýný görmeyi özledik.,1
ön ödemede deðil cekim gücünde sorun. Hayat cam kenarýnda telefonla konuþurken guzel,2
süperonline.hem daha hýzlý.,1
2 yillugina baglandim turkcell'e. Sagolsun her gun mesaj atiyo ama beni boslamiyo,3
ilk telefonumu 2000 seneside aldim.  Buyuk bir motorola,3
canýmsýn temalý turkcell afiþini çekip sana göderirdim ama hattým kapalý:),3
Off býzým evde babam vodefone annem avea ben turkcell evde kontor calýcak adam yok hepýmýz ayrý operotorluyuz :D,3
noldu halledebildiniz mi ? avea veya turkcell olsaydý öðrenebilirdim.,3
"bu turkcell le bi ben mi baðlanamamýþým hayata ,bana mý garezi varmýþ   ? :)",2
Önce iletim raporu geliyo sonra bakýyorum iletilmedi beklemede. Turkcell sen benimle dalgamý geciyosun acebaa?,2
Bu turkcellin durup dururken acitigi bbmim nerdeyse 2 ay oldu hala kapanmadi ben diyorum turkcell bana asik kimse inanmiyo,3
#turkcell koca #baskentuniversitesi kampusunde hala edge takilioruz... Yakismadi bu sana,2
Beyler sayfamýz 100 olduktan snra bedava türkcell link atýcam,3
156 gundur Tl yuklemiyomusum ahahahaha artik turkcell sevgili musterimiz demiyo bana surekli anamin telefonundan Tl aktardigim icin.,2
Turkcell ile yollarýmýzý ayýrdýk.Turkcell e hayatta baþarýlar. Hayatý paylaþmama izin vermediler. Bende yollarý ayýrdým.,2
Bu turkcell in günlük sms kotasý ne kadar saçma ya al iþte bitti,2
e hemen bildrmem gerek vapurda turkcell bedava gazete dagtyor ama belli gazeteler sabah habertrk gbi digerleri niye yok,3
"Orda durumlar nasýl Sertap +Tecavüze uðradým hakan , ama olsun hayat paylaþýnca güzel, lalalalalalalala :)))",3
Murat Erkan: ''Turkcell Superonline olarak misyonumuz operatörlerin operatörü olmak.'',1
Paylasinca cogalan... Bu sarki cok guzel turkcell kullaniyo bunu zaten mms kampanyasinda,3
evlere kadar ulaþtýrmak için çabalýyoruz. Bu hizmeti kimse veremedi. Biz veriyoruz. Herkese fiber :),1
turkcell 4 çekiyo yavruþ :O,1
cozum uretemedýnýzmý turkcell 3 haftadýr cevap beklýyorum,2
o zaman sorun yok bende turkcell için iyi bir tarife arýyorum ama ne yapsam karar veremedim fikir versene:),1
Mc donald's ajda pekkaný Turkcell'ýn yalýný býzý oldurdu yeter artýk tum albumlerý ezberledýk :),3
bitanesinnnnnnnnnnnnnn:D #turkcell,1
en iyisi ben yarýn turkcell e gidiyim =),1
,3
Oyun Eðlence Bloglarýndan 2011 Turkcell Blog Ödülleri'nde halk oylamasý sonucu finale kalan ilk 10 blog: (cont),3
Bu haftasonu farklý geçsin istiyorsanýz gidin Suç ve Ceza'yý okuyun bitirin sonra da bana anlatýn hayat paylaþýnca güzel lalalalalaaa,1
snn icin gnctrkcll hat alicam ahahaha huzurumsun muah!,1
internet pktm bittti yeniden yaptým  cok pahalý ya hiç öðrenciyi düþünmüyo :),2
bi sorun mu var mesaj atamýyoruz reiz,2
feriha turkcell hat alsa sorun çözülür ya da emir avea ya geçmeli,1
HAYAT PAYLAÞINCA GÜZEL AMA SÝZ HAKLI OLDUÐUM HALDE HATTIMI KAPATTINIZ HAYATI PAYLAÞAMIYORUM SAYENÝZDE,2
"Sahibiyle beraber satýlýk BMW. 4 çeker. Her arazi koþuluna uygundur. Deh deyince gider, çüþ deyince durur :)))))",3
"Bu arada Turkcell, caglayan adliyesinde -7'de full cekiyor, ben baska reklam bilmem. (   )",1
"haha Noel Baba hesabý,hesabýnýn hesabý,býraksýnlar hesabý kitabý =)) bi turkcell gece 3e kadar baðladý bak bizi =)",3
canim bizi de davet etsene bi kerecik su pazarlama konferanslarina. Biz bazarnamaci dill miyik.,3
abim iphone aldýktan sonra turkcell göçtüü :)) hala belini doðrultamadýý :)),2
Bugun Superonline musteri hizmetlerini arayip churn + avantajli kampanya paketlerini soracagim. Artik TTNet'e para bayilmaya son ..,1
"Bu turkcell varya....100 dk konusma hakki verdi,selenle 10 sn konustuk 5 dakikasý coktan gitti nasýl is anlamadiim.",2
"bir gün herkes 15 dakikalýðýna milletvekili olsa. 7750 lira emeklilik maaþý. yolu, yemeði de veriyorlarmýþ. hayat paylaþýnca güzel.",3
Turkcell yönetiminden biriyle konuþtum bana kamu gibi alýnýyor kararlar demiþti...,2
tam tünelden gecerken 3g cekiyordu:D türkcell'in reklamlari vodafone' harekete gecirmis olmali:),1
#itirafetmekgerekirse Arkadaþýmýn rehperinden sevgilisinin adýný turkcell olarak deðiþtirdim.sevgilisi ne zaman mesaj atsa okumadan siliyor,2
"Ortaya çýktýðýndan beri Turkcell gibi beni yalnýz býrakmayan ""City Ville"" isteklerine burdan teþekkürlerimi iletiyorum, saðolun var olun.",1
"2-Turkcell gibi cep tel.servis saðlýyacalarý ortadan kalkacak,uydulardan direk internet aðý ile skype ve benzeri uygulamalar &gt;&gt;&gt;",2
"""Gun boyunca 1 tlye konusun"" mesajini saat 10'da yollayan Turkcell'in mesajini yasamak istiyorum.",3
basarili gordum seni:)))  paylasinca guzel diyorum o zmnn :))),1
"adresini yazdýðýmda sayfa açýlmýyor. internet baðlantým süperonline, modem markasý ise Týlgýn. Modem ile ilgili bir ayar",3
En iyi orta saga van turkcell super liggg is van besiktas #stadyum,3
imza iþlemez bunlara vazgeçmezler turkcel sevdalarýndan,1
turkcell.in böle bi kýyak geçeceði aklýmýn ucundan geçmezdi,1
"ÇAKMA ÝPHONE4'ÜM VAR TURKCELL 1GB TEL ÝNTERNETÝM VAR SABAH AKÞAM BURADAYIM SÜPER NE LÝMÝT NE KESÝNTÝ ""SAÐOL ÇÝN+TURKCELL""  EMEKLÝÐE KIYAK!!",1
aslýnda uzun bir süredir ortada ama yaygýnlaþýnca turkcell bir aralar android marketi de yasaklamýþtý sonlarý ayný olur.,3
Bu arada siz sevgili panpiþlerime duyurmayi unuttum vodafone un ayricaliklarla dolu dunyasindan turkcell in indirimlerle dolu dunyasina,1
"15 dakkasý 50 kuruþ'unda bi sýnýrý olduðunu bilmiyordum Turkcell. 600 dakikayý doldurunca ölümüne geçirdin, teþekkürler.",2
"268,60 tl #turkcell faturam. Amk",2
Nolursa olsun turkcell candýr :),1
O zamanlar çok mutluymusum demek ki o çok dalga geçtiðim nerdeyse 1 aydýr yayýnda olan turkcell reklamý gözlerimi doldurdu.. Þaka mi!,3
Sadece 1 dakikam kaldý diye  benimle random gülerek dalga geçiyor. Sanki senin 1 dakikana kaldýk. :),2
Bole bi rezalet yok bravo turkcell,2
Copcu karisi bile sabahlik giyiyo bkz turkcell reklami,3
Neleri istiyorlarsa vereceðiz' diyen Bülent Arýnç bence 'hayat paylaþýnca güzel la-la-lay-laaay' olayýný çok yanlýþ bi yerden anlamýþ.,3
Orduspor Hector Cuper i takimin basina getirecekmis. Christian Vieri ve Hernan Crespo'yu da Turkcell Super Lig'den emekli ederiz artik.,3
"&gt;&gt;faturala, müsteri uyanýk cýkýp hakkýnda ýsrar ederse uzatmadan faturadan düþ. Ben uzatmadaým, cunku Türkiye'de artýk &gt;&gt;",2
Bi turksel bi de dijiturkten cektigim kadaaar ....... :,2
turkcell beni sesimden tanir.,1
Mesajlarim neden iletilmiyo turkcell?!,2
anneem turkcell.de takýlýyorum da yeni gördüm mesajý :D bu arada neler oluyor tiyatrodaa :D,3
o da sadece turkcell'e gelecek gibi sanirsam herhalde galiba :),3
turkcell 3 tl hediye etse bana ne güzel olur =),1
Avea ne lan kenkzz? Rus karýsý ismi falan mý? Ccc Turkcell 3g internet hýzý siker amk ccc,1
bu turkcell kadar kazýk atabilen  bir hat yok.,2
Dur bi mesaj ataLým SevgiLisin'den zannetsin..  -Turkcell. :D,3
Bende özturkcell ciyim. ;)),1
hakediyolar,3
"seni seviyorum turkcell ben tl derdine düþmüþken 600 dakikam oldu ,iyiki varsýn",1
Elifi yeriiim :D malesef bizi ayiran turkcell :(,2
"Pazar keyfi baþlasýn! Güzel bir kahvaltýnýn ardýndan þöyle televizyonun karþýsýna uzanýp bir çay daha içmek yok mu, harika! :)",3
"abi turkcellin nasýl soyulduðunu tam anlamadým,showun açýðýný ordan mý kapadýlar,yokca turkcell e ayrý bir oyun mu çekti Acur?",3
gel vodofona :)  bugüne kadar türksel beni yolmuþ ta yolmuþ. böyle arayan soran da yok,2
Bu oçe Turkcell mesaj hakký talebimi aldý ama cevap vermiyoo :(,2
#Turkcell #t20 kullanan kimler var ? 1 adým öne çýksanýz ?,3
BÝR EVDE OLMAMASI GEREKEN 3 ÞEY...1.TURKCELL 2. DÝGÝTURK 3.KERÝZ ANTEN ÇÝÇEÐÝ,2
ile Diyarbakir'a gidiyoruz! bu gece Turkcell icin sahne! ;),1
Çok basit bir maile bile dönüþ yaparak tüm sorularýma cevap veren Superonline müþteri hizmetlerini kutluyorum. #supersinsuperonline,1
"TTNETi bilmiyorum ama, Superonline'nin servis hizmeti cok ama cok kotuuu",2
"3 sene önce Turkcell reklemi vardý 2 0 0 9 hazýrýz bekliyoruz diye:) ne çabuk gecmis, simdi de çabuk gecer umarimm",1
kesinlikle piþman olmazsýn.Denemeye deðer ;),3
avea dan bana bu ay 250 veya 300 tl fatura gelcek :(( TURKCELL geri dönmeyi düþünüyorum :)),1
#PazarlamaKonferansi Turkcell ile yine cok keyifli bir konferans baslamak uzere.,1
O degil de Turkcell'in son reklami ne kadar gercek ustu lan. Copcunun hatundaki telefon falan..,2
TURKCELL ÝN TARÝFE politikasý her tarifede açýk bir kapý býrakarak faturamýza FAZLA ama kitabýna uygun PARA ÖDETTÝRÝYOR,2
demaa öyle büþra:) bkz. hayat paylaþýnca güzel la la la laaa :D:D,1
ne demiþ turkcell ;) hayat paylaþýnca güzel ;),1
360 turkcell ve irem diyim deniz anlar ama doruk yine fransýz kalýcak üzgünüm hahaha :D,3
yazýk ya :D ama bence turkcell mobil ödemeyle yemek siparis et :D,1
